path_num|points|times
1|-2,-2,1;1,0,1;0,1,1;2,0,1;-2,-1,1;,0,-2,1;-1,0,1;-2,2,1;,2,-2,1;-1,2,1;,0,-1,1;1,2,1;-1,1,1|44,52,44,47,51,40,64,45,44,69,49,58,56
2|-1,1,1;,2,-1,1;-2,-2,1;-1,-1,1;2,2,1;,0,-2,1;,1,-1,1;2,1,1;-2,0,1;,0,-1,1;-2,2,1;,2,-2,1;1,2,1|51,53,46,52,43,61,44,48,48,43,53,68,50
3|1,2,1;,0,-2,1;-1,1,1;1,0,1;2,1,1;-1,-1,1;2,2,1;-1,0,1;,2,-1,1;-1,2,1;,1,-1,1;-2,2,1|62,53,50,46,58,65,43,61,61,50,47,46
4|-2,2,1;,2,-2,1;-1,1,1;,0,-2,1;2,1,1;-1,-1,1;-2,-2,1;1,2,1;0,0,1;1,1,1;-1,-2,1;-2,1,1;,2,-1,1|49,44,55,60,50,54,40,49,63,60,60,43,50
5|2,-1,1;-1,0,1;-2,-1,1;-1,2,1;-2,1,1;,2,-2,1;,1,-1,1;0,0,1;,1,-2,1;-1,1,1;2,0,1;0,2,1;-1,-2,1|43,60,40,45,58,52,50,42,47,66,43,47,59
6|-1,-2,1;-2,0,1;,1,-1,1;0,0,1;-2,2,1;,2,-1,1;-2,1,1;2,0,1;,0,-1,1;1,1,1;,0,-2,1;2,2,1;-1,0,1|65,45,68,51,60,47,48,67,47,41,42,50,40
7|-1,0,1;-2,2,1;,0,-2,1;-1,1,1;2,2,1;-2,0,1;,1,-2,1;,0,-1,1;-1,2,1;0,0,1;-1,-1,1;,2,-2,1|63,55,53,50,66,51,60,49,49,55,67,68
8|2,-2,1;,0,-1,1;-2,0,1;-1,2,1;2,1,1;1,2,1;-2,1,1;,1,-1,1;2,2,1;1,0,1;0,1,1|65,50,59,67,69,69,52,47,45,66,58
9|0,1,1;,2,-1,1;-2,0,1;,0,-1,1;2,2,1;-2,-1,1;,2,-2,1;-1,-1,1;,0,-2,1;2,1,1;-2,2,1;-1,-2,1;1,1,1|56,54,54,45,52,40,50,67,46,50,44,49,43
10|1,1,1;-1,-2,1;2,2,1;1,0,1;2,1,1;-2,0,1;1,2,1;,2,-2,1;-1,1,1;-2,-1,1;-1,2,1;,0,-2,1|69,61,40,65,47,53,53,58,43,66,62,44
11|0,-2,1;2,2,1;1,0,1;,2,-1,1;-1,2,1;2,1,1;-2,0,1;1,2,1;-1,-1,1;2,0,1;-2,1,1;,1,-2,1;0,1,1|51,41,49,41,64,58,45,51,47,63,58,67,47
12|0,1,1;-2,-2,1;0,2,1;,2,-1,1;-2,1,1;,2,-2,1;,0,-1,1;-2,0,1;-1,-2,1;-2,2,1;,1,-1,1|55,69,41,58,47,65,64,61,57,68,59
13|1,-1,1;-2,2,1;-1,0,1;-2,-2,1;-1,1,1;0,2,1;2,0,1;1,1,1;0,0,1;-2,-1,1;,2,-2,1;0,1,1|60,54,66,59,41,52,64,40,63,57,60,53
14|0,1,1;-1,0,1;,0,-2,1;-1,-1,1;-2,2,1;2,1,1;-1,-2,1;-2,0,1;,1,-1,1;2,2,1;0,0,1;-2,-2,1|51,51,41,44,66,69,55,41,66,46,58,58
15|-2,-2,1;,1,-1,1;0,1,1;,1,-2,1;-1,0,1;0,2,1;-2,0,1;,0,-1,1;,2,-2,1;1,1,1;-1,-2,1;-2,1,1|46,67,40,43,66,55,40,54,60,58,69,61
16|-2,1,1;,0,-1,1;-1,2,1;2,0,1;,1,-2,1;0,2,1;2,1,1;0,0,1;2,2,1;-1,1,1;-2,-2,1;1,1,1;-2,2,1|59,50,53,52,69,41,50,58,52,56,51,40,51
17|-2,2,1;-1,0,1;2,1,1;,1,-1,1;-2,-2,1;-1,-1,1;1,0,1;,2,-2,1;1,2,1;-1,1,1;,2,-1,1;1,1,1|55,44,58,69,48,63,69,64,50,47,60,59
18|1,1,1;2,0,1;0,1,1;,2,-1,1;,0,-2,1;-2,-1,1;2,1,1;-2,0,1;,1,-2,1;0,2,1;-2,1,1;2,2,1|60,69,62,58,58,61,44,42,60,56,42,52
19|2,2,1;-1,-2,1;-2,-1,1;1,1,1;-2,-2,1;0,0,1;1,2,1;-2,0,1;,0,-2,1;-2,1,1;0,2,1;,1,-2,1|47,46,65,65,53,69,44,55,42,50,63,55
20|1,-2,1;0,0,1;-2,-2,1;2,0,1;-1,2,1;,0,-1,1;,2,-2,1;1,2,1;0,1,1;-2,2,1;1,0,1;,0,-2,1;2,1,1|56,58,45,54,59,62,59,51,40,55,61,52,42
21|2,1,1;-1,-1,1;1,1,1;,0,-2,1;,2,-1,1;-2,1,1;-1,0,1;-2,2,1;0,0,1;-2,-2,1;-1,2,1;,1,-1,1;0,1,1|61,51,57,46,44,44,67,40,49,68,50,69,45
22|0,1,1;-2,0,1;0,2,1;,1,-1,1;-1,2,1;,0,-2,1;,2,-1,1;1,1,1;-2,2,1;,0,-1,1;-1,0,1;1,2,1|40,61,68,55,66,57,55,54,66,61,52,51
23|1,2,1;2,0,1;-1,1,1;,2,-2,1;0,2,1;-2,0,1;2,1,1;0,0,1;,2,-1,1;1,1,1;-1,2,1;,1,-2,1|68,43,65,41,61,66,48,65,48,56,45,43
24|1,-2,1;0,1,1;2,2,1;-2,1,1;0,0,1;-2,-1,1;1,2,1;2,1,1;-1,2,1;-2,0,1;,2,-2,1;-2,2,1|54,42,59,66,55,53,55,58,69,47,58,46
25|-2,2,1;-1,1,1;-2,-1,1;0,2,1;-2,-2,1;1,2,1;2,0,1;-1,2,1;1,0,1;,2,-2,1;-2,1,1;0,0,1;2,2,1|50,48,56,48,69,48,40,40,61,44,48,50,69
26|2,2,1;-1,1,1;2,0,1;-2,-1,1;-1,-2,1;0,1,1;-2,0,1;1,1,1;,0,-2,1;2,1,1;-2,2,1;0,0,1|69,56,49,61,69,64,56,61,40,43,53,57
27|0,0,1;2,1,1;-1,0,1;-2,-2,1;0,2,1;,1,-1,1;-1,1,1;,0,-2,1;2,0,1;1,1,1;-1,-2,1;1,2,1;0,1,1|68,42,57,45,68,55,65,40,47,43,62,57,40
28|0,1,1;,1,-1,1;-2,-2,1;1,1,1;,0,-1,1;,2,-2,1;-1,0,1;0,2,1;-1,-1,1;2,0,1;-1,-2,1;,2,-1,1;1,2,1|61,52,68,44,57,57,55,41,58,54,50,48,40
29|1,2,1;-1,-2,1;,2,-1,1;-2,2,1;,1,-1,1;-1,0,1;2,2,1;,0,-1,1;2,0,1;-1,1,1;-2,0,1;1,1,1|45,60,40,63,47,53,59,60,58,67,46,64
30|1,1,1;,0,-1,1;2,0,1;,0,-2,1;-1,-1,1;-2,2,1;2,1,1;1,2,1;-1,-2,1;,2,-1,1;-1,1,1;,1,-2,1|44,52,65,60,48,41,58,69,50,63,51,58
31|1,-2,1;-2,2,1;2,0,1;-1,1,1;0,2,1;-2,0,1;0,1,1;-1,0,1;,0,-1,1;1,0,1;2,1,1;0,0,1|68,50,50,50,67,52,41,58,57,57,57,54
32|0,0,1;,2,-1,1;0,2,1;1,0,1;-2,-2,1;1,1,1;-1,-1,1;,0,-2,1;-1,1,1;,1,-2,1;-2,1,1;2,2,1|49,47,63,47,58,50,62,61,54,43,66,48
33|2,2,1;1,0,1;-1,-1,1;2,1,1;-2,-2,1;1,2,1;-2,1,1;2,0,1;-2,-1,1;-1,0,1;0,1,1;-1,2,1|65,50,64,59,50,56,60,40,43,59,47,69
34|-1,2,1;-2,-2,1;,2,-1,1;-2,2,1;0,1,1;-1,-1,1;2,0,1;-1,1,1;,2,-2,1;,1,-1,1;-2,1,1;-1,0,1|45,53,61,46,67,54,66,56,52,60,68,51
35|-1,0,1;0,2,1;-1,-1,1;-2,0,1;0,1,1;-1,2,1;-2,-2,1;1,1,1;-2,-1,1;1,2,1;0,0,1;-2,1,1;,0,-2,1|53,40,61,59,53,41,44,43,49,56,58,43,54
36|0,-2,1;-1,-1,1;1,1,1;-1,-2,1;0,2,1;,1,-1,1;-1,0,1;,0,-1,1;2,1,1;-1,2,1;-2,-1,1;,2,-2,1|59,52,62,57,57,67,42,55,60,49,43,59
37|2,-2,1;-2,0,1;1,2,1;-1,-2,1;-2,2,1;2,1,1;,0,-1,1;-2,-2,1;-1,-1,1;,1,-2,1;0,1,1;,2,-1,1;-1,1,1;2,0,1|45,54,41,43,40,40,58,53,58,52,41,61,42,57
38|2,0,1;-1,-2,1;,2,-1,1;-1,0,1;2,2,1;,1,-2,1;-1,1,1;1,2,1;2,1,1;,0,-1,1;-2,0,1;,2,-2,1|44,46,64,62,61,56,56,57,52,48,63,48
39|2,-2,1;1,0,1;-2,-1,1;0,1,1;-1,2,1;,0,-1,1;1,2,1;-2,0,1;1,1,1;-2,-2,1;2,2,1;,1,-1,1|48,43,44,65,46,63,64,65,61,50,57,65
